,Item (Texto),GravedadMode,SesgoMode
63,"La CIDH agregó que se buscará principalmente escuchar a las víctimas de violaciones a los derechos humanos y sus familiares para recibir testimonios, denuncias y comunicaciones, las cuales se deberán enviar a través del portal oficial de la CIDH. Urrejola informó además que, previo al comienzo de la visita oficial, tuvo una reunión con la canciller, Marta Lucía Ramírez, el fiscal general, Francisco Barbosa, y el defensor del Pueblo, Carlos Camargo.",1,0
64,"El presidente de Colombia, Iván Duque, anunció este domingo (06.06.2021) que estructurará la policía, que se encuentra bajo la lupa de la comunidad internacional por la dura represión, que deja más de 60 muertos en las protestas antigubernamentales de la últimas semanas. Durante una ceremonia de ascensos de la institución, el mandatario ordenó la creación de ""un decreto que modernizará la estructura orgánica de la Policía Nacional, sobre todo para fortalecer la política (...) de los derechos humanos"".",2,0
65,"Ante la presión internacional de organismos tales como la ONU, Amnistía Internacional o la Comisión Interamericana de los Derechos Humanos, el presidente de Colombia, Iván Duque, anunció el 6 de junio de 2021 una transformación de la Policía colombiana para fortalecer el respeto de los derechos humanos.  La transformación está consignada en un proyecto de ley que será presentado al Congreso, en el inicio de la próxima legislatura, es decir, a mediados del año que viene y en caso que gane los comicios. La respuesta de la bancada progresista fue denunciar lo “estético” de una medida que no va a resolver los problemas de Colombia. Así lo denunció el senador Iván Cepeda: “Ahora el Ministerio de Defensa se llamará Ministerio de Defensa Nacional y Seguridad Ciudadana y la policía tendrá uniforme azul. Esta cosmética la usa Duque para ocultar las masivas violaciones de derechos humanos y la necesidad de cambios estructurales de la policía y las Fuerzas Armadas”.",2,-1
66,"Motilonas Rap es un grupo de rap conformado por Johana Ortega Cabarico y Denys Aleyda Cáceres Cabarico, quienes le dieron vida en el año 2010 en el municipio de Tibú (Norte de Santander). Su nombre artístico es un homenaje al pueblo originario Barí, conocidos como Motilones Barí, quienes han habitado y resistido históricamente en este territorio. Para las Motilonas, el rap es una herramienta que permite reconstruir la memoria, fortalecer el tejido social, devolver la esperanza y aportar a la transformación territorial a través del arte. «¿Cuándo será la última vez que escribiremos a nuestro país que estamos cansados de la muerte, de la guerra, la miseria y todo lo que nos duele? A gritos y con digna rabia nos volvemos a levantar con rap hasta que nos escuchen, y en medio del paro nacional no seremos la excepción», expresó Denys Cáceres.",0,0
67,"“Muy bien que los maestros anuncien el retorno, pero hay que contarles a los colombianos que ya parte de los niños salieron a sus vacaciones (...) La invitación es a estar listos después de las semanas de receso”, dijo la ministra de Educación, María Victoria Angulo. Justo este viernes divulgó la Directiva 5 de 2021, según la cual
 “desde julio iniciará la presencialidad plena, y solo en casos 
excepcionales se establecerá la posibilidad de prestar el servicio 
educativo en la modalidad de alternancia”.",1,0
68,"Según especialistas consultados, el paro nacional también evidenció un incremento en el nivel de participación política y social de diversos sectores civiles del país, como contrapeso a la falta de respuestas rápidas y concretas por parte de varios mandatarios a las necesidades de sus gobernados y a la agudización de la crisis de credibilidad en las instituciones.",0,-1
69,"Por ello, hoy defiende el paro y justifica los bloqueos, alegando que para ellos no hay otra manera de que “les paren bolas”. Sus peticiones, a diferencia de lo que se demanda en las calles de las grandes ciudades, parecen básicas: vías en buen estado, acueducto, alcantarillado, una universidad pública para la región -para que sus hijos no apuesten por la coca- o seguridad para no ser presos de los armados. “Lo que vemos son promesas fallidas. En elecciones prometen inversión social y nunca llega. Nos han incumplido. Estamos en total abandono. Me arde la espalda de cargar y cargar las piñas que cultivo y que nadie compra”.",2,-1
70,"Sin duda el paro nacional dejó una fuerte marca en la inflación en mayo. Esto último causó presiones alcistas sin precedentes en los costos de los alimentos, pues el grupo presentó un histórico avance de 5.4%, explicando así cerca del 90% de la inflación total en el mes, y superando ampliamente lo observado en el más reciente choque sobre los alimentos, es decir el paro camionero del 2016. Como se observó esa vez, este tipo de efectos sobre los precios provenientes del lado de la oferta suelen corregirse rápidamente, tendencia que debería observarse una vez se levanten los bloqueos.",2,0
71,"En Cali, Medellín, Bucaramanga, Pasto, Popayán y Bogotá se registraron las principales manifestaciones esta semana, luego del anuncio del Comité Nacional del Paro de suspender temporalmente las movilizaciones y empezar nuevas tácticas, para continuar el paro.",1,0
72,"Hasta el 28 de mayo de 2021, cuando se cumplía un mes de movilizaciones en Colombia por el Paro Nacional, la Fundación para la Libertad de Prensa (FLIP) registró 165 violaciones a la libertad de prensa que han dejado 186 víctimas. Dentro de los hechos más graves se destacan: 59 agresiones físicas; 31 amenazas; y 6 detenciones ilegales. En este contexto, las mujeres periodistas han sido víctimas de 30 agresiones, entre las que se encuentran las agresiones físicas (10), el robo o eliminación del material periodístico (5), las detenciones ilegales (3) y las amenazas (4).",3,-1
73,"El sistema de transporte público en Colombia está viviendo uno de sus momentos económicos más complicados. La reducción de pasajeros a costa de la pandemia trajo consigo un hueco difícil de tapar. Según el presidente de Metrocali -entidad encargada del funcionamiento del Masivo Integrado de Occidente (MIO)-, Óscar Ortiz, las empresas perdieron alrededor de $2,2 billones en 2020 a causa del virus. Sin embargo, este año las cosas se complicaron aún más, pues a la pandemia se sumaron los actos vandálicos contra estaciones y buses que fueron atacados durante más de un mes de protesta social en el país. En Cali, Bucaramanga, Pereira, Bogotá, entre otras ciudades, las pérdidas han sido millonarias y la oferta del servicio bajó ante el daño que hubo en los elementos del sistema.",2,0
74,"Es sencillo ser un pensionado que se opone a cualquier reforma y hacer parte del Comité del Paro, cuando se recibe un subsidio millonario a cargo del Estado. Por ejemplo, en una pensión de 10 millones de pesos que paga Colpensiones, 4 millones los ahorró ese trabajador durante su vida laboral mediante sus aportes, los restantes 6 millones los aportamos los demás colombianos, incluso los más pobres al pagar el famoso IVA, IVA que por cierto hoy pagan y se pretendía devolver a 40% de la población.",1,1
75,"La protesta virtual en Colombia no volverá a ser la misma después del paro nacional. Así quedó demostrado luego de más de 40 días de movilizaciones que se apoyaron en herramientas digitales para visibilizar, amplificar y posicionar el estallido social en la agenda global.",2,0
76,"el paro nacional deja más pérdidas que ganancias para la sociedad en general. Desde luego hubo ganadores, sobre todo aquellos que se alimentan de la polarización o de las víctimas ajenas para validar su discurso. Sin embargo, el balance general es desolador: estamos más pobres, más divididos y más dolidos que antes del 28 de abril del 2021. Salir adelante será más difícil, y de todos dependerá el subsanar estas tres grandes y peores pérdidas que deja un paro ya sin fuelle.",1,1
77,"Con 599 muertes por covid reportadas ayer, es el cuarto día consecutivo que se registra un nuevo récord de fallecimientos en el país. En vista de que el tercer pico está lejos de estar bajo control, la semana pasada más de 140 asociaciones de la comunidad científica y el sector salud le pidieron al Gobierno aplazar la reapertura económica. El Gobierno, mientras tanto, sigue ocupado señalando al paro como único culpable de la crisis.",2,-1
78,"Tanto la ONU como la Unión Europea y varios países pidieron el sábado un diálogo serio como solución a la crisis y para evitar que se produzca más violencia y muera más gente, después de que se confirmasen 13 homicidios el viernes en Cali tras una jornada de enfrentamientos con la Policía y la irrupción de civiles armados en las protestas.",3,0
79,"A través de su cuenta de Twitter, el director de la División de las Américas de Human Rights Watch, José Miguel Vivanco, afirmó que la organización tiene evidencias de que miembros de la Policía habrían asesinado al menos a 20 manifestantes durante las jornadas del paro nacional en el país. Vivanco dijo: “Hemos documentado cada caso con evidencias de primera mano incluyendo informes médicos y forenses, entrevistas con testigos, familiares y abogados de víctimas y autoridades judiciales, y verificación de videos”.",3,0
80,"los jóvenes siempre han sido actores relevantes en los reclamos y las protestas sociales, sin embargo, el paro que generó un estallido social este año tiene una particularidad para ella: “Ahora los adultos, la generación anterior a nosotros como nuestros padres y abuelos, nos están reconociendo, antes no lo hacían”. De eso, precisamente, se trataba el IV Encuentro de Memorias. Danilo Rueda, coordinador de la Comisión Intereclesial de Justicia y Paz, explicó que para garantizar la no repetición del conflicto hay que entender que “cuando hablamos de territorios no son solo la ruralidad, sino también los territorios urbanos”.",0,0
81,"Es decir, “les conviene que haya unos chicos tirando piedras, manteniendo a la policía entretenida y no persiguiéndolos a ellos y a sus rentas criminales. Todo eso se mezcla de una manera complicada. Ahora, no es lo mismo un vándalo al que le paga la olla de narcotráfico que el chico humilde de Kennedy que está protestando con arte y cultura. Si los igualamos, los estigmatizamos y creamos más tensión. Vamos a tener cuidado para usar el canal adecuado”.",2,0
82,"Este 21 de junio, Colombia superó la dolorosa cifra de 100 mil muertos de covid-19, situación que conmocionó al país y que ocasionó múltiples reacciones, entre ellas, la del presidente de la República, Iván Duque, quien no solo lamentó la situación, sino que también responsabilizó al paro nacional de dicha situación; tras sus declaraciones, Gustavo Petro no tardó en reaccionar.",3,0
83,"“Desde el 28 de abril a 16 de junio hemos registrado alegaciones de 56 muertes, entre ellas 54 civiles y 2 policías, en el contexto de las protestas, principalmente en Cali; así como 49 alegaciones de víctimas de violencia sexual. Mi Oficina también está documentando abusos contra los derechos humanos por parte de actores no estatales y los efectos de los bloqueos continuos en los derechos humanos”, apuntó Bachelet.",3,0
84,"“Tenemos varios temas que aclarar. El número equivocado de las personas muertas en el paro porque se ha comprobado a la fecha que hay 24 personas que murieron por el paro pero 19 no murieron por el paro y 11 están en investigación. Cuando la señora Bachelet dice que hay 54 muertos por el paro se equivoca y eso le hace daño al país porque el país lo que quiere es la verdad no seguir trabajando sobre los rumores”, dijo la embajadora.",3,0
85,"Tras más de 50 días de manifestaciones en la capital del Valle del Cauca, varios hechos de violencia, discriminación y clasismo han revelado una profunda división social en Cali. Uno de esos hechos ocurrió en el barrio Ciudad Jardín el pasado 28 de mayo, cuando civiles armados, en compañía de la Policía, dispararon contra manifestantes.",3,-1
86,"El Gobierno de Iván Duque anunció este viernes (18.06.2021) que modificó un decreto presidencial para limitar la definición de protesta pacífica y especificar que los bloqueos de vías -ya sean temporales o permanentes- no constituyen una forma de manifestación y por ello permite el ""uso legítimo de la fuerza"".",3,0
87,Todas las fuentes consultadas para este reportaje —incluido Orjuela— dijeron que el paro debió tener alguna influencia en el aumento de contagios y muertes. Pero difirieron en la relevancia que pudo haber tenido.,1,0
88,"Pero esto no ha servido para calmar la indignación. Y con el paso del tiempo, las protestas han dividido aún más a una sociedad ya polarizada: los partidarios dicen que las marchas son la única manera de conseguir que una clase política atrincherada los escuche, y los opositores dicen que los mensajes de los manifestantes han sido eclipsados por los actos violentos de algunos de ellos.",1,0
89,"Una primera razón es la gran debilidad de las organizaciones populares en Colombia. No tenemos los partidos indígenas de otros países andinos, ni los sindicatos poderosos de Argentina o de Brasil, ni la coalición de clases medias en el estilo de Chile; tenemos núcleos regionales como el CRIC, sindicatos sectoriales como Fecode o movilizaciones locales contra algunos proyectos mineros. En segundo lugar, las organizaciones nacionales siempre han estado intensamente fragmentadas. El movimiento campesino se dividió y se divide en varias “líneas”, los estudiantes o los pensionados tienen varias “federaciones”, e inclusive hoy en el Comité Nacional del Paro toman asiento tres centrales obreras que llevan años de disputarse el predominio.",1,0
90,"Esa debilidad y esa fragmentación son a su vez reflejo de un problema más hondo: nadie en Colombia representa a nadie. Los sindicatos hablan por un 4 % de los trabajadores en las grandes empresas, las ONG hablan por sus respectivos activistas, los gremios dicen unas cosas mientras Sarmiento y los antioqueños se aseguran de otras cosas, el periodismo desapareció, las redes son ruido puro… e incluso los políticos de oposición hablan a título personal (como dijo De la Calle cuando la Coalición de la Esperanza se reunió con Iván Duque).",1,0
91,"La Federación de Empresarios del Transporte de Carga (Fedetranscarga) analizó los viajes de carga realizados entre el 28 de abril, cuando inició el paro, al 15 de junio, y los comparó con el mismo periodo de 2020, fecha en que había en el país algunas restricciones por el aislamiento obligatorio, y encontró que se dio una reducción en la carga de 3,1%.",1,0
92,"Según la Oficina de planeación y estudios económicos de Fedegán, los productores de leche dejaron de comercializar unos 395.900 millones de litros de leche (cerca de $403.000 millones). Por otra parte, los novillos que no fueron sacrificados desde el inicio del paro totalizaron 222.597 y las pérdidas son cercanas a $456.000 millones.",2,0
93,"La Asociación del Sector Automotriz y sus Partes (Asopartes) encendió de nuevo las alarmas por cuenta de las afectaciones que ha presentado el sector de fabricación y ensamblaje de vehículos tras varias semanas de paro nacional en el país. Este tipo de situaciones en la cadena logística y de adquisición de 
materias primas, según Asopartes, está representando sobrecostos de 
hasta el 500 %, razón por la que en algunos casos los precios finales al consumidor podrían incrementarse cuatro o cinco veces.",2,0
94,"En opinión de analistas, si se mide con esa vara, el balance del Congreso es agridulce, pues si bien se hundieron iniciativas tan impopulares como las reformas tributaria y a la salud, y el proyecto que buscaba la extensión del período presidencial, otras relacionadas con la educación, el medio ambiente y el desarrollo del Acuerdo de Paz quedaron en veremos. Además, en materia de control político, aunque el ministro de Defensa, Diego Molano, fue citado para responder por los excesos de la fuerza pública durante el paro, finalmente logró conservar su cargo.",1,-1
95,"Aunque fueron varias las iniciativas que no lograron prosperar en el Congreso, el hundimiento del proyecto de matrícula cero levantó ampolla. La iniciativa buscaba que la matrícula de los universitarios de estratos bajos que estudian en universidades públicas fuera gratuita. “Las mayorías uribistas en el Senado le dan la espalda de nuevo a los jóvenes”, reclamó el senador Antonio Sanguino (Alianza Verde), uno de sus autores. Por su parte, Gustavo Bolívar (Coalición Decentes) manifestó que persistirán en el proyecto en el período que arranca el 20 de julio, pero llamó la atención por su poco respaldo en el Congreso. “Lo seguiremos intentando, pero con estas minorías es imposible”, dijo.",2,-1
96,"Sin duda el paro nacional dejó una fuerte marca en la inflación en mayo. Esto último causó presiones alcistas sin precedentes en los costos de los alimentos, pues el grupo presentó un histórico avance de 5.4%, explicando así cerca del 90% de la inflación total en el mes, y superando ampliamente lo observado en el más reciente choque sobre los alimentos, es decir el paro camionero del 2016. Como se observó esa vez, este tipo de efectos sobre los precios provenientes del lado de la oferta suelen corregirse rápidamente, tendencia que debería observarse una vez se levanten los bloqueos.",2,0
97,"Entre $4,8 billones y $6,1 billones estima Fedesarrollo el costo que hoy ha dejado para el país el paro nacional, luego de un mes de bloqueos y manifestaciones. El director del centro de análisis, Luis Fernando Mejía, dijo que “estimamos que el costo económico del paro nacional en el mes de mayo oscila entre $4,8 y $6,1 billones. Sin embargo, una prolongación de los bloqueos implicaría un costo económico superior al estimado”.",2,0
98,"Vidrios rotos, rejas y puertas destruidas, paredes maltratadas o invadidas de mensajes, vehículos averiados o incendiados. Esas son algunas de las imágenes del vandalismo que han visto los colombianos a través de la televisión, y que ha dejado hasta ahora el paro nacional en la infraestructura de las ciudades más afectadas.",1,1
99,"Claro está, hay que tener en cuenta que, en hechos como los ocurridos en Colombia durante el último mes, los hogares no son el objetivo de vandalismo. Sin embargo, terminan metidos en la ola, por vecindad con los puntos focales, que, en este caso, han sido las estaciones y vehículos de los sistemas de transporte; los bienes en espacio público como estatuas que hacen parte de los símbolos de algún hecho histórico en el país; los vehículos, entre otros.",1,0
100,"El director de Fedesarrollo anunció que el pronóstico de crecimiento de la economía colombiana en 2021 sería revisado al alza a pesar de la situación de orden público que está experimentando el país. Allí precisó que “el sorprendente dato de crecimiento en el primer trimestre del año, la aceleración del proceso de vacunación en las últimas semanas y la baja base de comparación de 2020 implican que la tasa de crecimiento del PIB de 2021 sería superior al 4,8% que pronosticábamos a inicio de año”. Estas cifras de Fedesarrollo contrastas con las que señaló el Ministro de Hacienda, quien calculó las pérdidas en $10 billones.",0,0
101,"El vicepresidente técnico de Fasecolda indicó que “sin lugar a dudas, quienes resultaron afectados y contaban con un seguro, verán minimizado el impacto de los daños provocados por el vandalismo. Aquellos que no tenían un seguro, deberán asumir estos daños de su propio bolsillo”.",1,0
102,"Una encuesta de Confecámaras reportó que 90,4% de los 12.979 empresarios consultados dijeron que, de los puestos de trabajo que generan, entre uno y cinco están en riesgo por los efectos del paro y los bloqueos. Así mismo, una encuesta de la Cámara de Comercio de Bogotá encontró que, de continuar con la situación de orden público, 21% de las compañías en la capital reduciría el personal contratado.",2,0
103,"Los expertos —incluido el ministro Ruiz— concuerdan en que es difícil saber con exactitud cuánta responsabilidad tienen las protestas en la crisis sanitaria, debido a que el estallido coincidió con varias medidas de reapertura de la actividad económica, y la llegada, comprobada por las autoridades, de al menos dos de las cuatro variantes de covid-19 que exacerban la transmisibilidad.",2,0
104,"En un barrio rico de Cali, civiles sacaron sus pistolas y fusiles para disparar contra manifestantes, con policías a su lado. Querían cuidar sus bienes de personas que querían afectarlos. Ya fracturada por la desigualdad y el racismo, la capital del Valle del Cauca se encontró en el paro nacional con una realidad soterrada. El 28 de mayo, una turba de barrios marginales arribó al exclusivo sector de Ciudad Jardín e intentó incendiar una estación de policía. Los vecinos respondieron a tiros.",3,0
105,"Ambas organizaciones están instaladas en la plazoleta frente al importante portal Américas, pero la primera línea se ha mostrado más resistente a un acuerdo. “Nos consideramos independientes. Respetamos las dinámicas del Comité del Paro, pero no las reconocemos como nuestras. No aceptamos el bajarse de la mesa ni que se acaben los bloqueos. La primera línea portal de la Resistencia sigue en pie de lucha y seguimos en un proceso de conformación de un movimiento político y, como tal, no vamos a descansar”, aseguró el Profe. Han sido claros en señalar que las vías de hecho no se van a abandonar por ahora y que defenderán a la población y a los manifestantes. “La primera línea prestará seguridad contra la represión estatal”, agregó. Pero ¿qué piden? Tienen al menos un pliego de 21 peticiones de carácter nacional y distrital.",2,-1
106,"Aunque la desigualdad ya venía empeorando incluso antes de la pandemia, se agigantó entre 2019 y 2020, cuando cayeron en pobreza 375.990 personas en la urbe de 2,2 millones de habitantes. Sin nada que perder, estos mismos jóvenes escalaron el pulso cerrando calles enteras para instalarse en verdaderos campamentos urbanos que exasperan a una buena parte de la población que padece con esos bloqueos.",2,0
107,"Y, además, dicen que para iniciar el diálogo solicitan la no judicialización de los miembros de la primera línea por delitos relacionados con terrorismo, vandalismo, daño en bien público y demás delitos relacionados con bienes jurídicos protegidos y el reconocimiento del parque Mundo como una zona de campamento permanente para miembros de las primeras líneas que al momento de ejercer el derecho de la manifestación se quedaron sin hogar. “Exigimos que se nos establezca ese campamento con veeduría 24/7”.",1,0
108,"Luego de esta intervención se determinó que es de carácter prioritario que la alcaldía local adopte las medidas necesarias para preservar el orden público. Así fue que el 11 de junio de 2021, la alcaldía de Kennedy conoció de una petición ciudadana relacionada con la situación de seguridad y deterioro de ese espacio. Allí no solo hay vandalismo sino consumo de droga y se han reportado varios delitos cometidos en las inmediaciones del lugar.",2,1
109,"El anuncio que a comienzos de esta semana hizo el Comité Nacional del Paro (CNP) de interrumpir de manera temporal las movilizaciones a nivel nacional, pero sin reanudar las negociaciones con el Gobierno, no solo deja en el limbo la discusión sobre las reformas de fondo que necesita el país, sino que deja ‘vivos’ una serie de factores que pueden hacer que la ‘olla de presión’ del malestar social vuelva a estallar en cualquier momento.",2,0
110,"De acuerdo con analistas, a causa de la anarquía que se vivió durante el estallido social, la seguridad y el orden volvieron a convertirse en temas claves para la agenda política de los actuales gobiernos -sin distingo de sus filiaciones políticas- y para el panorama electoral del 2022.",1,0
111,"El parque Mundo al que se refiere es un espacio público ubicado en inmediaciones del portal que ya ha sido ocupado con campamentos. Concejales han denunciado la ocupación de este espacio y el Distrito está al tanto de su existencia. Hace unas semanas, de hecho, se ofrecieron allí servicios distritales en el marco de una feria comunitaria. Ante la posibilidad de que el Distrito no conceda este espacio, ‘el Profe’ aseguró que están abiertos “a escuchar otras opciones”.",1,0
112,"“El desgaste al que le apostó el Gobierno Nacional -al esperar a que el cansancio y la zozobra por el desabastecimiento a causa de los bloqueos y el vandalismo se extendieran- le abrió la posibilidad de encontrar un enemigo claro: la protesta. Ahí, además, también hubo grupos ilegales que las autoridades relacionaron con la guerrilla, un enemigo cercano a la izquierda”, explica.",1,1
113,"Y el despliegue de fuerza, ante la mirada de algunos policías cómplices, hizo que los manifestantes sintieran que su ‘enemigo’ se encontraba más cerca de lo pensado. Cuando intentaron responder el 28 de mayo, fueron recibidos a bala. La policía anunció acciones contra los agentes “permisivos”.",2,0
114,"A su turno, el analista político Julián Peña recalca que todos los gobernantes deben propender constitucionalmente por el orden público y la seguridad de la ciudadanía, incluso los que han tenido una postura de apoyo o diálogo con los manifestantes. “Varios alcaldes se dedicaron fue a hacer politiquería, maltratando a la Fuerza Pública, porque era popular. Hoy en día se sienten maniatados entre sus propuestas y sus obligaciones constitucionales”, dice.",1,1
115,"El paro nacional ha dejado un saldo de 21 víctimas mortales confirmadas que guardan relación con las manifestaciones. Esta es una cifra terrible a la que debe sumarse la de más de 2.000 heridos, hechos que sumaron una presión adicional a un sistema hospitalario ya de por sí copado por el pico de la pandemia. En un país como el nuestro, donde el valor de la vida siempre ha sido relativo, volver a las épocas donde la ideología de alguien era una lápida a cuestas es muy triste. El paro agudizó la polarización hasta puntos nunca antes vistos",3,0
116,"Una de las consecuencias políticas que deja el paro es que, efectivamente, validó la protesta social como un mecanismo para lograr cambios en el país, de acuerdo con analistas",0,0
117,"Sí, no hay nada tan importante como la vida. Pero para que esta se desarrolle, el progreso es necesario. La pandemia, entre otras cosas, nos enseñó el infinito valor de nuestro tejido empresarial, del empleo y de una adecuada infraestructura pública. Todo lo anterior fue blanco de los manifestantes, que se dedicaron a colapsar la economía del país como mecanismo de presión. Según el Ministerio de Hacienda, las pérdidas ascienden a 10,3 billones de pesos. Por otra parte, la ANDI asegura que el 84% de las empresas manifestaron sentirse afectadas por un paro que puso en jaque a más de 800.000 empleos",2,1
118,"el paro nacional logró arrojar luz sobre la fractura social que vivimos. Las personas se dividieron en dos bandos que hacían gala de una intolerancia enfermiza en ocasiones, como cuando se pedía el boicot a empresas por opiniones personales de sus CEO o se justificaba el fallecimiento de un bebé dentro de una ambulancia paralizada por los bloqueos.",3,1
119,"Sin embargo, las circunstancias de orden público han sido protagonistas, sobre todo en el sureste del país y en otras regiones en las que se han registrado distintos actos de violencia y bloqueos. Frente a ello, la CCOA hizo hincapié en que “Con los bloqueos perdemos todos, se perjudica a los campesinos, comerciantes, empleados, empresarios, estudiantes y jóvenes, pero quienes más pierden finalmente son los mismos actores sociales y el Comité Nacional del Paro. Estas enturbian sus justas pretensiones“.",2,1
120,"Tengo la impresión de que los colombianos están aún más polarizados que a inicios del año y que la concordia social, tan necesaria en momentos donde necesitamos una reactivación económica con el esfuerzo de todos, puede desaparecer sin remedio. Muchos leen esta situación como un claro indicio de estallido social, aunque el escaso aforo en las manifestaciones desmienta esa percepción. Más que un estallido, sufrimos una fractura social.",1,0
121,"La manifestación se concentró a las 10 de la mañana en el Puente de la 4 Sur, en el sur de Medellín. De allí arrancó, también por el sur con destino a la estación Itagüí del Metro. Sobre las 4:30 de la tarde, la situación se salió de control cuando, de acuerdo con denuncias y videos en redes sociales, los manifestantes comenzaron a generar daños en algunas estructuras.",2,0
122,"Las autoridades pudieron establecer la identidad de la persona a quien pertenecería la cabeza encontrada dentro de una bolsa en el corregimiento de Aguaclara, zona rural de Tuluá, centro del Valle del Cauca. Se trata de un joven llamado Santiago Ochoa. Según se conoce, el joven hacía parte de la denominada primera línea de resistencia de ese municipio. El crimen tiene consternados a los habitantes de esa zona del país. Testigos aseguran que Santiago salió en horas de la mañana en una bicicleta y posteriormente, fue capturado supuestamente por el Escuadrón Móvil Antidisturbios (Esmad).",3,-1
123,"Los manifestantes se agruparon en el sector de la calle 30 con avenida Circunvalar, bajaron por el boulevard del barrio Simón Bolívar generando pánico y terror a lo largo de su recorrido hasta llegar a la zona próxima de las viejas instalaciones de la Escuela de Policía Antonio Nariño. Estando allí, se enfrentaron al Esmad y lanzaron bombas molotov contra la antigua sede.",2,0
124,"El Comité del Paro Nacional de Colombia rechazó este lunes el decreto del Gobierno colombiano de Iván Duque el cual excluye los bloqueos durante las protestas pacíficas y, según ha denunciado la sociedad civil, los criminaliza.",1,0
125,"El Gobierno de de Iván Duque modificó el viernes último el decreto para limitar la definición de la protesta pacífica, con lo cual, desde ahora, los bloqueos de las vías dejan de ser una forma de protestas, por lo que se permite el ""uso de la fuerza"" por parte de las fuerzas de seguridad.",2,0
126,"Durante su discurso inaugural de la 47 sesión del Consejo de Derechos Humanos de Naciones Unidas (CDHNU) en la ciudad suiza de Ginebra, la alta comisionada de las Naciones Unidas para los Derechos Humanos, Michelle Bachelet, ha asegurado este lunes que su oficina ha expresado su “grave preocupación” por las denuncias de “serias violaciones” de los derechos humanos cometidas por las fuerzas de seguridad durante las protestas antigubernamentales en Colombia.",0,-1
127,"Bachelet ha ofrecido un balance sobre las víctimas de la represión militar en Colombia aseverando que desde el 28 de abril —fecha en la que comenzaron las movilizaciones— hasta el 16 de junio, su oficina ha registrado 56 muertes, incluyendo 54 civiles y dos policías, así como 49 posibles víctimas de violencia sexual.",3,0
128,"Así, ha urgido a las autoridades colombianas a realizar investigaciones ""inmediatas, efectivas e independientes"" en referencia a las violaciones a los Derechos Humanos y los abusos cometidos desde el 28 de abril y, como resultado, que los responsables rindan cuentas.",1,0
129,"La Minga Nacional, Social, Popular y Comunitaria de Popayán (capital del Cauca, suroeste de Colombia) denunció este lunes, a través de un comunicado, el rechazo al diálogo por parte de la Fiscalía y la criminalización de la protesta.",1,0
130,"La tarde de este jueves, 17 de junio, Cali vivió una nueva jornada de protestas en donde se registraron problemas de orden público. Un bus del sistema de transporte MIO, que cubría la ruta P27, fue quemado por encapuchados en la calle 70 con carrera 1, en la vía que comunica a la ciudad de Cali con el municipio de Palmira. El vehículo de transporte público fue atravesado en la vía.",2,0
131,"El objetivo de las organizaciones sociales, indígenas, campesinas que integran la minga era consolidar las garantías para la vida y los derechos humanos de los ciudadanos e instalar la mesa técnica de diálogo.",0,0
132,"A través de mensajes recibidos por redes sociales y llamadas telefónicas, Gustavo Orozco, uno de los promotores de la marcha del silencio que pidió en Cali por el cese de la violencia al margen del paro nacional, recibió de nuevo amenazas de muerte.",2,0
133,"Miembros del Comité Nacional del Paro —un grupo conformado por sindicatos y organizaciones estudiantiles— señaló en conferencia de prensa que suspenderán las marchas que se habían estado realizando cada semana a fin de evitar la muerte de más manifestantes a manos de la policía y también para reducir los contagios de coronavirus en el país, que registra una cifra récord de decesos relacionados con la enfermedad.",1,0
134,"Las protestas han dejado pérdidas por 3.000 millones de dólares, según el ministerio de Finanzas, debido a que los bloqueos carreteros han impedido que las fábricas reciban materia prima y evitado la exportación de productos como el café y la caña de azúcar.",1,1
135,"A pesar de que el comité del paro ha encabezado muchas de las protestas, no representa a grupos juveniles o indígenas que también han organizado marchas y montado barricadas en ciudades como Cali y la capital, Bogotá. Estos grupos negocian actualmente por separado con las autoridades municipales.",0,0
136,"El viceministro de Salud y Protección Social, Luis Alexander Moscoso, le dijo a Caracol Radio que Caldas está afrontando el cuarto pico de la pandemia por COVID-19 debido a las aglomeraciones que se registraron en las marchas y protestas, en las cuales no se guardó ningún protocolo de bioseguridad.",1,1
137,"Un panorama que la propia fundación señaló ha transcurrido en medio de estigmatizaciones y agresiones por parte de miembros de la Fuerza Pública y bajo un silencio total del gobierno y las autoridades. Luego de que los disturbios y manifestaciones se redujeran en el último tiempo, la Defensoría del Pueblo anunció que adelantará una jornada de recepción de quejas y denuncias abierta a los periodistas y reporteros gráficos que fueron víctimas de agresiones y restricciones a su oficio en el marco del paro iniciado el pasado 28 de abril.",1,-1
138,"En materia de hechos que atentan contra la integridad física y moral de los periodistas, el informe detalla 73 agresiones físicas, 38 amenazas, 16 obstrucciones, 13 casos de robo o eliminación de material periodístico, 12 acciones arbitrarias en redes sociales, 10 hostigamientos, 9 detenciones ilegales, 7 negativas de acceso a la información, 5 daños a la infraestructura, 3 ciberataques a páginas web, 4 exclusiones, 4 casos de espionaje o invasión y 2 estigmatizaciones.",3,0
139,"Con fecha del 11 de junio, desde la Cancillería se envió un mensaje a algunos nacionales que viven en otros países. En dicha carta la vicepresidenta señala que a pesar de estar por fuera, ellos pueden evidenciar que Colombia “es una nación que nos emociona porque ha surgido a pesar de muchas dificultades y divisiones, donde la exclusión y la desigualdad han sido el origen de muchos de los problemas que aún hoy nos aquejan”.",0,1
